,Customer_ID,First_Name,Last_Name,Year_Birth,Education,Major,Income,Date_Enrolled,Days_Since_Last_Cohort,Amount_Spent_On_Courses,Amount_Spent_on_Books,Minutes_Spent_on_Headstarter,Questions_Completed,Videos_Watched,Minutes_Spent_Coding,Email_Opens,Num_Courses_Purchased,Number_of_Students_Referred,Site_Visits_Per_Month,Average_Teammate_Rating,Cohorts_Participated_In,Highest_Leaderboard_Rank,Complain,Headstarter_Rating,Probability_Of_Getting_Offer
26,2404,Melanie,White,1976,Bachelors,Computer Science,85374.40000000001,2013-05-27,4,254.0,7.0,54.0,91.0,4.0,24.0,5,1.0,4,18.0,9.41,2,476.0,0,5,5.0
28,9422,Craig,Greene,1989,Bachelors,Law,61376.0,2013-05-31,26,27.0,1.0,13.0,90.0,2.0,17.0,2,0.0,4,3.0,7.87,3,319.0,0,9,2.9
29,1966,Phillip,Byrd,1965,PhD,Computer Science,169236.0,2013-11-22,96,1002.0,168.0,1438.0,2442.0,139.0,644.0,6,10.0,10,5.0,6.83,2,130.0,0,7,37.6
30,6864,Kristen,Chase,1989,Masters,Computer Science,19762.2,2014-05-22,34,12.0,7.0,18.0,30.0,1.0,8.0,3,0.0,3,13.0,4.33,2,516.0,0,9,0.8
31,3033,Monica,Bennett,1963,Masters,Computer Science,69516.0,2013-11-05,56,164.0,29.0,79.0,134.0,7.0,35.0,2,6.0,3,8.0,5.81,4,365.0,0,5,7.9
32,5710,Tammy,Peterson,1970,Bachelors,Cyber Security,64876.8,2012-10-10,31,195.0,0.0,5.0,14.0,0.0,4.0,2,2.0,4,15.0,7.28,2,350.0,0,5,1.6
33,7373,Michael,Kim,1952,PhD,Cyber Security,93220.0,2012-10-29,8,170.0,14.0,90.0,264.0,24.0,94.0,4,2.0,6,18.0,7.92,4,493.0,0,9,11.0
34,8755,Laura,Smith,1946,Masters,Computer Science,123582.6,2013-02-20,4,706.0,57.0,846.0,1436.0,81.0,378.0,3,6.0,9,18.0,4.27,2,190.0,0,5,24.8
35,10738,Debra,Fisher,1951,Masters,Cyber Security,88900.2,2013-08-29,55,71.0,0.0,18.0,52.0,4.0,18.0,2,0.0,3,21.0,4.01,3,540.0,0,6,1.6
36,4339,Tracy,Watkins,1970,PhD,Cyber Security,134706.0,2013-12-31,37,1244.0,20.0,142.0,415.0,36.0,147.0,5,11.0,12,6.0,4.05,3,481.0,0,9,10.9
37,10755,Jacob,Donovan,1976,High School,Computer Science,4743.6,2013-02-09,76,9.0,5.0,25.0,43.0,1.0,11.0,3,1.0,2,18.0,5.25,3,364.0,0,8,2.2
38,8595,Victor,Lynch,1973,Bachelors,Computer Science,67886.40000000001,2014-11-02,99,81.0,0.0,11.0,18.0,0.0,5.0,1,1.0,3,13.0,7.32,3,400.0,0,5,0.6
39,2968,Nicholas,Ross,1943,PhD,Computer Science,97896.0,2013-01-02,53,640.0,13.0,370.0,628.0,35.0,166.0,7,11.0,5,15.0,8.95,3,368.0,0,6,23.8
40,8601,Amanda,Hines,1980,Bachelors,Computer Science,128017.6,2013-04-29,3,617.0,128.0,962.0,1634.0,93.0,431.0,8,7.0,5,10.0,6.81,3,269.0,0,7,33.6
41,503,Rachel,Curtis,1985,Masters,Pre-Med,37006.200000000004,2013-12-03,88,19.0,2.0,34.0,81.0,4.0,25.0,2,0.0,3,22.0,5.81,2,353.0,0,9,1.5
42,8430,Brian,Hill,1957,Bachelors,Computer Science,35190.4,2012-12-24,4,13.0,0.0,11.0,18.0,0.0,5.0,0,0.0,3,13.0,7.1,1,464.0,0,9,0.5
44,2139,Janet,Roberts,1975,Masters,Computer Science,13500.0,2013-02-10,19,4.0,2.0,18.0,30.0,1.0,8.0,2,0.0,3,13.0,5.39,2,298.0,0,7,0.9
45,1371,Brian,Greer,1976,Bachelors,Computer Science,127905.6,2014-06-28,72,180.0,276.0,478.0,811.0,46.0,214.0,2,4.0,9,3.0,5.47,1,231.0,0,6,22.0
46,9909,Amy,Campbell,1996,High School,Cyber Security,1500.0,2012-09-11,24,5.0,22.0,13.0,38.0,2.0,14.0,3,2.0,3,27.0,9.35,4,469.0,0,6,3.4
47,7286,Kathleen,Le,1968,Bachelors,Cyber Security,66764.8,2013-05-24,92,23.0,7.0,14.0,41.0,2.0,14.0,2,0.0,2,31.0,8.52,4,469.0,0,5,1.7
49,6566,Cameron,Hunt,1954,PhD,Computer Science,145100.0,2012-08-11,39,1211.0,84.0,569.0,967.0,54.0,254.0,5,2.0,12,20.0,8.54,2,210.0,0,8,17.4
50,8614,Robyn,Downs,1957,Bachelors,Computer Science,104777.6,2014-12-05,29,359.0,32.0,224.0,381.0,21.0,100.0,4,2.0,10,5.0,6.3,4,496.0,0,5,9.7
51,4114,Dana,Townsend,1964,Masters,Computer Science,142457.4,2012-11-08,2,953.0,62.0,1401.0,2378.0,135.0,628.0,6,10.0,13,8.0,8.22,1,170.0,0,5,43.0
52,1331,Theresa,Webster,1977,Bachelors,Marketing,57264.0,2013-02-01,54,15.0,8.0,18.0,59.0,2.0,10.0,2,0.0,3,18.0,8.85,2,574.0,0,8,2.1
53,2225,Willie,Jones,1977,Bachelors,Computer Science,132131.2,2014-07-06,54,747.0,202.0,988.0,1677.0,95.0,443.0,4,10.0,7,3.0,4.64,2,143.0,0,8,47.9
54,9381,Ashley,Solis,1978,Bachelors,Computer Science,106196.8,2013-12-06,57,481.0,15.0,223.0,378.0,21.0,100.0,4,2.0,10,8.0,6.37,2,347.0,0,8,8.8
55,6260,Melanie,Tanner,1955,Masters,Computer Science,148291.2,2012-11-19,55,1442.0,86.0,776.0,1317.0,75.0,348.0,3,11.0,13,3.0,9.52,3,188.0,0,9,40.4
56,10383,James,Hernandez,1966,Bachelors,Computer Science,112459.20000000001,2013-02-04,30,432.0,59.0,865.0,1470.0,83.0,388.0,5,6.0,10,8.0,4.05,4,298.0,0,9,39.3
57,7437,Lori,Allen,1988,Bachelors,Computer Science,44700.8,2014-04-28,31,19.0,0.0,14.0,24.0,1.0,6.0,1,0.0,4,8.0,4.37,2,556.0,0,8,0.7
59,8375,Denise,Carter,1968,PhD,Computer Science,111908.0,2014-03-03,63,655.0,0.0,50.0,85.0,4.0,23.0,8,2.0,6,18.0,9.08,3,352.0,0,9,6.7
60,6853,John,Jones,1982,Masters,Computer Science,136398.6,2013-04-07,12,1043.0,44.0,966.0,1640.0,93.0,433.0,3,7.0,11,3.0,7.99,1,197.0,0,8,27.7
61,3076,Eric,Hogan,1975,Bachelors,Computer Science,106644.8,2012-07-09,18,662.0,30.0,183.0,311.0,17.0,82.0,4,2.0,12,8.0,9.41,1,503.0,0,6,10.0
62,1012,Daniel,King,1952,Bachelors,Computer Science,98916.8,2013-02-18,26,766.0,12.0,241.0,409.0,22.0,108.0,8,2.0,10,18.0,9.24,3,393.0,0,8,14.4
63,6518,Kristen,Palmer,1951,PhD,Computer Science,135360.0,2013-11-06,8,800.0,0.0,86.0,146.0,8.0,39.0,7,3.0,8,13.0,9.47,2,405.0,0,8,8.0
64,4137,Cameron,Ramsey,1948,Bachelors,Computer Science,113065.6,2013-06-12,29,583.0,67.0,659.0,1119.0,63.0,295.0,7,4.0,4,10.0,6.42,2,361.0,0,5,35.5
65,8082,Wesley,Reynolds,1971,Bachelors,Computer Science,41153.600000000006,2013-05-21,75,1.0,5.0,11.0,18.0,0.0,5.0,1,1.0,2,18.0,4.49,3,375.0,0,7,0.5
66,1386,Travis,Lee,1967,Bachelors,Finance,51958.4,2014-11-05,0,17.0,0.0,1.0,1.0,0.0,0.0,1,0.0,2,14.0,8.15,3,360.0,0,9,0.0
67,9369,Tami,Hardin,1979,High School,Computer Science,17638.8,2014-03-19,19,1008.0,24.0,555.0,942.0,53.0,248.0,11,11.0,10,13.0,4.3,4,355.0,0,7,19.7
68,4477,Stephen,Short,1958,Bachelors,Computer Science,110553.6,2013-09-27,4,362.0,82.0,285.0,485.0,26.0,127.0,5,2.0,10,10.0,5.09,3,411.0,0,8,19.8
69,1357,Jessica,Lee,1970,Bachelors,Cyber Security,119766.40000000001,2013-08-04,90,1516.0,71.0,459.0,1337.0,120.0,478.0,2,9.0,5,15.0,4.2,2,323.0,0,6,42.9
70,1402,Whitney,Campbell,1954,Masters,Law,120583.8,2012-11-09,1,378.0,22.0,146.0,983.0,25.0,190.0,4,2.0,6,3.0,7.53,4,219.0,0,9,34.6
72,6312,Jason,Price,1959,Bachelors,Computer Science,104049.6,2013-03-17,29,378.0,180.0,522.0,887.0,50.0,233.0,10,3.0,13,18.0,6.23,3,320.0,0,6,19.2
73,8132,Sheila,Bailey,1975,PhD,Cyber Security,121262.0,2013-05-04,88,1001.0,7.0,61.0,178.0,16.0,63.0,9,4.0,8,21.0,7.63,1,442.0,0,7,10.6
74,1050,Ryan,Taylor,1952,Bachelors,Computer Science,45331.200000000004,2014-04-30,58,21.0,17.0,23.0,40.0,1.0,10.0,2,1.0,4,5.0,9.13,3,461.0,0,9,1.8
75,5846,Stephanie,Reynolds,1977,Bachelors,Computer Science,64393.600000000006,2012-12-19,68,3.0,2.0,11.0,18.0,0.0,5.0,1,0.0,2,15.0,6.32,3,340.0,0,6,0.8
76,1859,Colleen,Hendricks,1972,Masters,Pre-Med,135451.80000000002,2012-08-27,34,1052.0,191.0,1095.0,2590.0,155.0,826.0,7,8.0,5,14.0,9.71,2,177.0,0,8,46.2
77,7503,Joshua,Burgess,1976,Bachelors,Finance,121320.0,2012-12-10,40,1788.0,137.0,473.0,1166.0,74.0,201.0,5,7.0,9,8.0,8.6,4,181.0,0,8,57.8
78,10401,Christopher,Jackson,1976,High School,Pre-Med,5265.200000000001,2013-04-09,12,1.0,0.0,6.0,14.0,0.0,4.0,0,0.0,3,8.0,5.26,3,442.0,1,6,0.7
79,1618,Cody,Patrick,1965,Bachelors,Cyber Security,89673.6,2013-02-01,9,1022.0,0.0,60.0,176.0,16.0,63.0,10,2.0,8,24.0,5.96,2,358.0,0,7,6.1
80,3332,Robert,Robinson,1985,Bachelors,Computer Science,47616.0,2012-08-29,87,94.0,7.0,122.0,207.0,11.0,55.0,3,1.0,4,20.0,8.46,1,499.0,0,6,3.9
81,2261,Kristin,Taylor,1969,Bachelors,Pre-Med,42086.4,2013-06-23,5,6.0,2.0,6.0,14.0,0.0,4.0,1,0.0,2,19.0,4.22,1,372.0,0,8,1.0
82,5346,Kenneth,Stone,1973,High School,Computer Science,4711.8,2013-03-07,87,37.0,8.0,34.0,58.0,3.0,14.0,3,0.0,3,18.0,7.36,4,505.0,0,6,2.8
83,4119,Melissa,Shaw,1963,Masters,Finance,69516.0,2013-11-05,56,194.0,22.0,27.0,66.0,4.0,11.0,2,4.0,3,6.0,6.23,2,527.0,0,5,8.1
84,535,Aaron,Kennedy,1987,Bachelors,Computer Science,130177.6,2014-02-25,18,239.0,39.0,761.0,1293.0,74.0,341.0,3,11.0,13,3.0,8.01,2,283.0,0,5,32.4
85,5268,Danny,Holloway,1960,Bachelors,Finance,47104.0,2013-11-08,95,29.0,10.0,8.0,21.0,1.0,4.0,1,0.0,4,14.0,5.45,4,520.0,0,9,1.8
86,273,Daniel,Knight,1970,Masters,Computer Science,65048.4,2013-07-16,48,191.0,0.0,29.0,49.0,3.0,13.0,3,1.0,4,18.0,6.54,3,483.0,0,7,2.1
87,4452,Randy,Johnson,1957,Bachelors,Computer Science,80620.8,2014-05-28,3,428.0,10.0,66.0,113.0,6.0,29.0,6,1.0,6,18.0,9.57,3,292.0,0,7,5.9
88,8504,Stephanie,Hall,1973,Bachelors,Computer Science,127348.8,2014-12-05,70,513.0,101.0,1020.0,1732.0,99.0,457.0,5,7.0,7,5.0,7.54,2,269.0,0,7,35.9
89,771,Michael,Tucker,1967,Bachelors,Computer Science,86684.8,2014-01-21,79,198.0,15.0,70.0,119.0,6.0,31.0,2,2.0,5,5.0,8.54,1,354.0,0,7,3.9
93,11178,Lisa,Rodriguez,1972,Masters,Computer Science,76309.2,2014-03-23,69,22.0,3.0,18.0,30.0,1.0,8.0,1,0.0,3,18.0,5.21,3,332.0,0,9,0.6
94,2230,Jason,Garcia,1970,PhD,Computer Science,47252.0,2014-05-24,84,40.0,3.0,25.0,43.0,1.0,11.0,3,1.0,3,13.0,7.82,1,480.0,0,5,0.7
95,7516,Laura,Martinez,1983,Bachelors,Computer Science,48153.600000000006,2014-05-22,30,7.0,5.0,20.0,34.0,1.0,8.0,2,0.0,3,15.0,6.58,1,403.0,0,6,2.0
96,7247,David,Morgan,1960,Bachelors,Computer Science,76665.6,2012-11-22,72,740.0,0.0,47.0,79.0,4.0,21.0,7,4.0,6,15.0,4.7,3,365.0,0,7,5.8
97,11100,Betty,Jones,1972,Bachelors,Computer Science,82900.8,2013-11-04,37,75.0,3.0,13.0,21.0,0.0,5.0,2,0.0,3,18.0,8.75,1,339.0,0,7,0.7
98,4646,Tonya,Smith,1951,High School,Cyber Security,15699.400000000001,2013-01-12,44,367.0,31.0,421.0,1227.0,110.0,438.0,5,13.0,12,6.0,9.85,2,286.0,0,7,37.7
99,3037,Brett,Bass,1983,PhD,Cyber Security,100300.0,2013-06-20,32,239.0,55.0,87.0,253.0,22.0,90.0,5,4.0,7,15.0,9.96,2,412.0,0,5,9.7
100,1473,Jennifer,Lee,1960,High School,Computer Science,9564.6,2013-07-23,0,78.0,2.0,9.0,15.0,0.0,3.0,2,0.0,3,20.0,4.33,1,566.0,0,8,0.6
101,1016,Amber,King,1959,PhD,Law,69108.0,2014-03-30,43,31.0,0.0,2.0,13.0,0.0,2.0,2,0.0,3,7.0,8.18,1,407.0,0,8,0.6
102,4518,Donna,Tucker,1979,Bachelors,Cyber Security,137108.80000000002,2013-04-20,59,684.0,206.0,172.0,502.0,44.0,179.0,9,9.0,11,15.0,5.21,2,363.0,0,7,28.0
103,9370,Emily,Ryan,1945,PhD,Computer Science,131692.0,2013-05-17,68,824.0,136.0,496.0,842.0,47.0,222.0,6,3.0,6,10.0,4.71,2,340.0,0,9,18.4
104,8908,Robert,Avila,1959,Bachelors,Computer Science,139512.0,2014-08-05,35,318.0,128.0,1239.0,2104.0,120.0,555.0,3,12.0,5,3.0,4.28,4,269.0,0,6,41.3
105,8373,Meagan,Scott,1979,In-College,Finance,31972.2,2013-10-12,94,52.0,4.0,18.0,9.0,0.0,2.0,1,0.0,3,10.0,4.59,4,490.0,0,8,0.8
106,7533,Melissa,Fowler,1964,Bachelors,Cyber Security,78553.6,2013-09-24,15,255.0,1.0,30.0,88.0,8.0,31.0,4,2.0,4,21.0,5.84,1,555.0,0,8,4.0
107,2683,Tamara,Perez,1969,Bachelors,Computer Science,83860.8,2013-02-02,56,432.0,178.0,487.0,826.0,46.0,217.0,6,4.0,12,15.0,9.29,3,410.0,0,8,15.3
108,3629,Robert,Nelson,1978,Bachelors,Cyber Security,61691.200000000004,2012-12-19,17,135.0,4.0,29.0,85.0,6.0,29.0,3,2.0,3,21.0,8.31,4,387.0,0,6,3.4
109,10991,Kelly,Henderson,1960,Masters,Computer Science,160304.4,2012-07-12,18,665.0,326.0,190.0,323.0,18.0,85.0,5,4.0,4,5.0,6.83,2,353.0,0,9,14.8
110,5077,Alicia,Taylor,1979,Bachelors,Computer Science,123676.8,2013-02-11,46,623.0,193.0,524.0,890.0,50.0,235.0,6,7.0,11,8.0,7.23,3,343.0,0,5,20.0
111,7431,Nathaniel,Rice,1991,PhD,Computer Science,136252.0,2012-10-11,40,1952.0,29.0,558.0,948.0,53.0,250.0,7,4.0,5,23.0,4.2,3,243.0,0,6,32.7
112,3267,Dylan,Thomas,1963,Masters,Finance,103118.40000000001,2014-06-25,27,913.0,0.0,13.0,31.0,2.0,5.0,8,1.0,8,12.0,4.6,2,375.0,0,5,5.0
113,999,Maria,Davis,1991,Bachelors,Pre-Med,137659.2,2013-02-01,95,715.0,76.0,148.0,350.0,20.0,111.0,6,10.0,11,8.0,7.34,2,468.0,0,5,13.1
114,9215,Kevin,Thompson,1980,PhD,Computer Science,87948.0,2012-12-12,19,554.0,0.0,181.0,308.0,17.0,80.0,6,4.0,6,18.0,6.14,3,302.0,0,9,7.0
115,2286,Holly,Ingram,1962,Bachelors,Computer Science,81256.0,2013-10-09,27,94.0,2.0,38.0,64.0,3.0,16.0,2,1.0,3,15.0,5.52,2,543.0,0,5,1.8
116,1592,David,Key,1970,Bachelors,Computer Science,145224.0,2014-01-24,25,802.0,167.0,1458.0,2476.0,140.0,654.0,4,7.0,5,3.0,8.22,1,165.0,0,6,40.5
117,367,Regina,Mason,1978,High School,Computer Science,7310.0,2013-02-19,74,69.0,151.0,169.0,287.0,15.0,76.0,9,1.0,5,23.0,6.2,1,458.0,0,8,18.3
118,5234,Charles,Terry,1967,High School,Finance,6150.6,2013-11-07,85,21.0,7.0,15.0,37.0,2.0,6.0,1,1.0,3,10.0,9.75,1,381.0,0,9,2.2
119,9862,William,Hansen,1969,Bachelors,Computer Science,35068.8,2013-11-14,37,1.0,10.0,13.0,21.0,0.0,5.0,2,0.0,3,15.0,9.64,2,444.0,0,5,1.0
120,9805,Thomas,Shea,1953,Masters,Computer Science,101032.2,2013-06-20,65,469.0,81.0,239.0,406.0,22.0,106.0,6,2.0,10,10.0,8.34,3,333.0,0,9,10.5
121,6205,Patricia,Morrison,1967,Masters,Computer Science,58602.6,2014-02-24,13,50.0,5.0,52.0,88.0,4.0,23.0,2,1.0,3,13.0,9.22,3,340.0,0,7,2.3
122,8442,Eric,Contreras,1985,Masters,Cyber Security,35118.0,2013-04-09,63,16.0,0.0,7.0,19.0,0.0,6.0,1,0.0,3,21.0,4.2,3,519.0,0,5,0.7
123,7386,Krystal,Thompson,1976,Bachelors,Computer Science,49587.200000000004,2013-04-22,83,25.0,0.0,25.0,43.0,1.0,11.0,1,0.0,3,18.0,6.22,1,424.0,0,6,1.4
124,7215,Brenda,Mullen,1983,Bachelors,Computer Science,163152.0,2013-12-03,69,1058.0,45.0,183.0,311.0,17.0,82.0,6,9.0,13,5.0,6.34,4,315.0,0,5,13.9
125,1491,Hector,Boyer,1965,High School,Cyber Security,14297.6,2013-02-18,87,287.0,39.0,117.0,340.0,30.0,122.0,3,7.0,7,3.0,6.45,2,307.0,0,9,12.5
126,11071,David,Boyd,1984,Bachelors,Cyber Security,127371.20000000001,2013-04-21,37,797.0,159.0,896.0,2611.0,235.0,934.0,3,11.0,6,3.0,6.1,3,73.0,0,5,66.6
127,3381,Jeff,Bauer,1953,Masters,Finance,97826.40000000001,2014-08-06,51,121.0,0.0,10.0,24.0,2.0,4.0,2,0.0,4,12.0,5.43,2,498.0,0,9,1.4
129,11051,Stephanie,Smith,1956,PhD,Pre-Med,154752.0,2014-10-05,72,718.0,33.0,130.0,308.0,18.0,98.0,6,4.0,10,11.0,7.94,4,463.0,0,8,9.7
130,8026,Allison,Collins,1952,Bachelors,Marketing,100796.8,2013-09-30,10,154.0,79.0,64.0,214.0,8.0,37.0,5,4.0,5,13.0,8.98,1,279.0,0,9,14.1
131,433,Matthew,Reed,1958,Masters,Computer Science,110395.8,2013-10-03,42,783.0,8.0,84.0,143.0,7.0,37.0,11,1.0,6,20.0,4.47,4,274.0,0,6,8.2
132,9597,Kathleen,Lee,1969,Bachelors,Computer Science,117516.8,2014-10-02,10,346.0,178.0,339.0,576.0,32.0,151.0,7,2.0,9,10.0,6.84,2,316.0,0,9,14.8
134,5290,Joshua,Brown,1964,PhD,Computer Science,83102.0,2013-08-14,51,322.0,0.0,59.0,101.0,6.0,26.0,5,1.0,5,20.0,9.07,3,425.0,0,8,4.9
135,1685,Desiree,Dalton,1967,PhD,Finance,125962.0,2013-03-17,21,1379.0,18.0,358.0,883.0,56.0,152.0,4,4.0,13,6.0,5.33,2,301.0,0,6,38.7
136,5342,Sandra,Rodriguez,1976,In-College,Computer Science,12412.4,2012-08-08,31,0.0,2.0,27.0,9.0,0.0,2.0,1,0.0,3,20.0,7.73,4,512.0,0,9,0.6
137,9579,Marisa,Anderson,1959,PhD,Computer Science,67524.0,2013-07-07,61,78.0,2.0,61.0,104.0,6.0,27.0,2,2.0,2,20.0,4.94,2,410.0,0,8,2.4
138,7660,Richard,Webster,1973,PhD,Computer Science,71720.0,2014-05-19,37,22.0,0.0,14.0,24.0,1.0,6.0,1,1.0,2,13.0,5.0,3,468.0,0,6,1.1
139,1461,Taylor,Brown,1965,PhD,Computer Science,73842.0,2013-07-28,74,25.0,2.0,22.0,37.0,1.0,10.0,2,0.0,3,18.0,5.58,2,471.0,0,5,0.6
140,821,Frank,Potts,1992,Masters,Computer Science,167146.2,2012-10-19,46,1410.0,103.0,1654.0,2808.0,160.0,740.0,5,4.0,12,5.0,6.77,1,94.0,0,8,52.1
141,11084,Adam,Carroll,1976,Masters,Cyber Security,117187.2,2013-11-14,4,1307.0,0.0,219.0,637.0,58.0,228.0,3,9.0,7,21.0,5.15,4,442.0,0,9,13.2
142,8690,Ashley,Wilson,1962,Bachelors,Computer Science,137777.6,2013-04-19,73,585.0,47.0,1357.0,2305.0,131.0,608.0,5,8.0,10,5.0,4.96,4,208.0,0,7,50.4
143,2937,Alyssa,Fuller,1974,PhD,Pre-Med,136704.0,2013-08-28,47,896.0,28.0,156.0,370.0,22.0,118.0,8,7.0,9,17.0,9.54,3,441.0,0,9,10.8
144,9701,Sara,Huffman,1988,Bachelors,Computer Science,67012.8,2013-03-19,13,47.0,57.0,74.0,125.0,7.0,32.0,4,2.0,3,18.0,5.63,3,307.0,0,8,6.0
145,9949,Lisa,Burton,1976,Bachelors,Computer Science,95694.40000000001,2012-10-18,36,876.0,27.0,253.0,430.0,24.0,113.0,3,3.0,6,20.0,4.25,3,430.0,0,8,16.3
146,10837,Corey,Harris,1975,Bachelors,Computer Science,38331.200000000004,2012-10-28,47,3.0,2.0,32.0,55.0,3.0,14.0,2,0.0,3,15.0,4.52,1,573.0,0,6,1.8
147,3120,Jessica,Russo,1981,Bachelors,Computer Science,61675.200000000004,2013-08-28,49,9.0,2.0,18.0,30.0,1.0,8.0,1,0.0,2,20.0,9.57,4,504.0,1,6,0.9
148,5885,John,Cooper,1973,High School,Computer Science,7137.6,2012-08-22,94,107.0,5.0,162.0,274.0,15.0,72.0,4,1.0,4,20.0,8.35,3,396.0,0,5,4.9
149,4050,Joanne,Perry,1966,Masters,Computer Science,89289.0,2014-06-21,65,62.0,27.0,52.0,88.0,4.0,23.0,2,1.0,4,8.0,8.03,4,433.0,0,5,2.6
